"probe1"	"probe2"	"ont"
"202093_s_at"	"202354_s_at"	0.619
"202093_s_at"	"202355_s_at"	0.619
"202093_s_at"	"202356_s_at"	0.619
"202093_s_at"	"202586_at"	0.582
"202093_s_at"	"211730_s_at"	0.582
"202093_s_at"	"201390_s_at"	0.379
"202093_s_at"	"218906_x_at"	0.108
"202093_s_at"	"203577_at"	0.528
"202093_s_at"	"217502_at"	0.303
"205205_at"	"207535_s_at"	0.675
"205205_at"	"209636_at"	0.675
"205205_at"	"211524_at"	0.675
"205205_at"	"202243_s_at"	0.242
"205205_at"	"202244_at"	0.242
"205205_at"	"212219_at"	0.416
"205205_at"	"212220_at"	0.416
"205205_at"	"212222_at"	0.416
"205205_at"	"201114_x_at"	0.242
"205205_at"	"216088_s_at"	0.242
"205205_at"	"208991_at"	0.57
"205205_at"	"208992_s_at"	0.57
"205205_at"	"204352_at"	0.602
"205205_at"	"207113_s_at"	0.494
"205205_at"	"214062_x_at"	0.623
"205205_at"	"214448_x_at"	0.623
"205205_at"	"207163_s_at"	0.485
"205205_at"	"200782_at"	0.459
"205205_at"	"201763_s_at"	0.477
"205205_at"	"216038_x_at"	0.477
"205205_at"	"202621_at"	0.67
"205205_at"	"210182_at"	0.37
"209381_x_at"	"212125_at"	0
"209381_x_at"	"212127_at"	0
"37462_i_at"	"212125_at"	0
"37462_i_at"	"212127_at"	0
"209381_x_at"	"215535_s_at"	0.34
"209381_x_at"	"32836_at"	0.34
"37462_i_at"	"215535_s_at"	0.34
"37462_i_at"	"32836_at"	0.34
"209381_x_at"	"209449_at"	0.858
"37462_i_at"	"209449_at"	0.858
"209381_x_at"	"204031_s_at"	0.576
"209381_x_at"	"213263_s_at"	0.576
"209381_x_at"	"213264_at"	0.576
"209381_x_at"	"213517_at"	0.576
"37462_i_at"	"204031_s_at"	0.576
"37462_i_at"	"213263_s_at"	0.576
"37462_i_at"	"213264_at"	0.576
"37462_i_at"	"213517_at"	0.576
"209381_x_at"	"202354_s_at"	0.608
"209381_x_at"	"202355_s_at"	0.608
"209381_x_at"	"202356_s_at"	0.608
"37462_i_at"	"202354_s_at"	0.608
"37462_i_at"	"202355_s_at"	0.608
"37462_i_at"	"202356_s_at"	0.608
"209381_x_at"	"202586_at"	0.577
"209381_x_at"	"211730_s_at"	0.577
"37462_i_at"	"202586_at"	0.577
"37462_i_at"	"211730_s_at"	0.577
"209381_x_at"	"208984_x_at"	NA
"209381_x_at"	"215089_s_at"	NA
"209381_x_at"	"217221_x_at"	NA
"37462_i_at"	"208984_x_at"	NA
"37462_i_at"	"215089_s_at"	NA
"37462_i_at"	"217221_x_at"	NA
"209381_x_at"	"200094_s_at"	0.294
"209381_x_at"	"204102_s_at"	0.294
"37462_i_at"	"200094_s_at"	0.294
"37462_i_at"	"204102_s_at"	0.294
