"probe1"	"probe2"	"ont"
"213108_at"	"203004_s_at"	0.259
"207613_s_at"	"202400_s_at"	0.402
"207613_s_at"	"202401_s_at"	0.402
"213108_at"	"202400_s_at"	0.402
"213108_at"	"202401_s_at"	0.402
"207613_s_at"	"201471_s_at"	0.513
"207613_s_at"	"213112_s_at"	0.513
"213108_at"	"201471_s_at"	0.513
"213108_at"	"213112_s_at"	0.513
"207613_s_at"	"204375_at"	0.258
"213108_at"	"204375_at"	0.258
"207613_s_at"	"218030_at"	0.185
"213108_at"	"218030_at"	0.185
"214049_x_at"	"202087_s_at"	0.386
"214551_s_at"	"202087_s_at"	0.386
"214049_x_at"	"206056_x_at"	0.541
"214049_x_at"	"206057_x_at"	0.541
"214049_x_at"	"216980_s_at"	0.541
"214049_x_at"	"216981_x_at"	0.541
"214551_s_at"	"206056_x_at"	0.541
"214551_s_at"	"206057_x_at"	0.541
"214551_s_at"	"216980_s_at"	0.541
"214551_s_at"	"216981_x_at"	0.541
"204581_at"	"215925_s_at"	0.31
"217422_s_at"	"215925_s_at"	0.31
"220674_at"	"215925_s_at"	0.31
"38521_at"	"215925_s_at"	0.31
"204581_at"	"205049_s_at"	0.591
"217422_s_at"	"205049_s_at"	0.591
"220674_at"	"205049_s_at"	0.591
"38521_at"	"205049_s_at"	0.591
"204581_at"	"206056_x_at"	0.476
"204581_at"	"206057_x_at"	0.476
"204581_at"	"216980_s_at"	0.476
"204581_at"	"216981_x_at"	0.476
"217422_s_at"	"206056_x_at"	0.476
"217422_s_at"	"206057_x_at"	0.476
