"PROTEIN","SYMBOL","ENTREZID"
"9606.ENSP00000216540","SLC10A1","144245"
"9606.ENSP00000216554","EIF5","440138"
"9606.ENSP00000216602","ZFYVE21","79087"
"9606.ENSP00000216629","BDKRB1","79868"
"9606.ENSP00000216639","VRK1","199857"
"9606.ENSP00000216714","APEX1","200810"
"9606.ENSP00000239690","NUDCD1","85365"
"9606.ENSP00000239730","SEPT7L","10195"
"9606.ENSP00000216727","PABPN1","29880"
"9606.ENSP00000216733","EFS","29929"
"9606.ENSP00000216774","SRP54","79053"
"9606.ENSP00000216775","CPNE6","79796"
"9606.ENSP00000216780","PCK2","238"
"9606.ENSP00000216797","NFKBIA","8846"
"9606.ENSP00000216799","EMC9","121642"
"9606.ENSP00000216802","PSME2","221120"
"9606.ENSP00000216807","BRMS1L","54784"
"9606.ENSP00000216832","PNN","54890"
"9606.ENSP00000216840","RABGGTA","84964"
"9606.ENSP00000217246","MACROD2","84266"
"9606.ENSP00000216862","CYP24A1","91801"
"9606.ENSP00000216911","AURKA","55821"
"9606.ENSP00000216923","ZFP64","7840"
"9606.ENSP00000216951","GSS","239"
"9606.ENSP00000216962","PYGB","242"
"9606.ENSP00000216968","PROCR","246"
"9606.ENSP00000217026","MYBL2","247"
"9606.ENSP00000217043","R3HDML","240"
"9606.ENSP00000217073","PABPC1L","241"
"9606.ENSP00000217086","SALL4","59344"
"9606.ENSP00000217109","CSTF1","248"
"9606.ENSP00000217121","TPD52L2","80216"
"9606.ENSP00000217130","ZNF512B","115701"
"9606.ENSP00000217131","CTSZ","57538"
"9606.ENSP00000217133","TUBB1","249"
"9606.ENSP00000217939","MXRA5","250"
"9606.ENSP00000217159","SLCO4A1","251"
"9606.ENSP00000217169","BIRC7","57679"
"9606.ENSP00000217173","UBOX5","259173"
"9606.ENSP00000217182","EEF1A2",NA
"9606.ENSP00000217185","PTK6","130540"
"9606.ENSP00000217188","SRMS",NA
"9606.ENSP00000217195","C20orf27","8092"
"9606.ENSP00000217233","TRIB3","257"
"9606.ENSP00000217244","CSNK2A1","60529"
"9606.ENSP00000240333","SLC35B1","10189"
"9606.ENSP00000217254","SLC52A3","23600"
"9606.ENSP00000217260","RSPO4","258"
"9606.ENSP00000217270","PROKR2","259"
"9606.ENSP00000217289","FERMT1","55626"
"9606.ENSP00000217299","XKR7","262"
"9606.ENSP00000217305","PDYN","144193"
"9606.ENSP00000217320","C20orf118","51005"
"9606.ENSP00000217372","CDK5RAP1","265"
"9606.ENSP00000217381","SNTA1","266"
"9606.ENSP00000217386","OXT","267"
"9606.ENSP00000217402","CHMP4B","268"
"9606.ENSP00000217407","LBP","269"
"9606.ENSP00000217420","SLC32A1",NA
"9606.ENSP00000217423","CST4","57463"
"9606.ENSP00000217426","AHCY","347902"
"9606.ENSP00000217428","SPINT3","386724"
"9606.ENSP00000217429","FAM83D","9949"
"9606.ENSP00000217446","PIGU","83607"
"9606.ENSP00000217455","ACOT8","81693"
"9606.ENSP00000217456","APMAP","196394"
"9606.ENSP00000217515","TXNL1","154796"
"9606.ENSP00000217652","MYL12A","154810"
"9606.ENSP00000217740","RNF125","51421"
"9606.ENSP00000217893","TAF9","270"
"9606.ENSP00000217901","IDH3G","271"
"9606.ENSP00000217909","SLC25A43","272"
"9606.ENSP00000217958","PSMD10","273"
"9606.ENSP00000217961","STS","275"
"9606.ENSP00000217964","TBL1X","401138"
"9606.ENSP00000217971","PGRMC1","276"
"9606.ENSP00000217999","RHOXF1","277"
"9606.ENSP00000218004","NXT2","278"
"9606.ENSP00000218006","GUCY2F","279"
"9606.ENSP00000218008","ATP1B4","280"
"9606.ENSP00000218032","TLR8","155185"
"9606.ENSP00000218056","WDR13","51321"
"9606.ENSP00000218068","PAGE4","64682"
"9606.ENSP00000218075","GLRA2","10393"
"9606.ENSP00000218089","STAG2","51529"
"9606.ENSP00000262244","MOB3B","25847"
"9606.ENSP00000218099","F9","25906"
"9606.ENSP00000218104","ABCD1","119504"
"9606.ENSP00000218147","BCORL1","29882"
