"symbol1","symbol2","MF","BP","CC"
"EGR1","DAXX",0.2,0.558,0.674
"EGR1","ALOX5AP",0.15,0.233,0.364
"EGR1","BST2",0.345,0.389,0.235
"EGR1","LHX2",0.945,0.984,NA
"EGR1","HRAS",0.287,0.511,0.378
"EGR1","PITX1",0.675,0.066,0.61
"EGR1","GDF15",0.167,0.459,0.455
"EGR1","SOCS1",0.165,0.467,0.555
"EGR1","ADAR",0.337,0.433,0.641
"EGR1","IER2",0.61,0.471,0.807
"EGR1","HSPB1",0.352,0.475,0.404
"EGR1","CAMK2A",0.168,0.453,0.455
"EGR1","NR5A1",0.739,0.562,0.683
"EGR1","TNF",0.508,0.531,0.067
"EGR1","SP1",0.638,0.602,0.525
"EGR1","HLA-G",0.174,0.396,0.194
"EGR1","IRF3",0.619,0.597,0.749
"EGR1","IFIT2",0.379,0.386,0.441
"EGR1","GATA2",0.672,0.523,0.807
"EGR1","IFITM1",0.657,0.389,0.02
"EGR1","STAT3",0.644,0.536,0.627
"EGR1","SRF",0.652,0.566,0.807
"EGR1","AKT1",0.284,0.493,0.521
"PPP3CC","CALB2",0.073,0.116,0.311
"PPP3CC","PLCB2",0.319,0.338,0.925
"PPP3CC","CALML5",0.037,0.331,0.306
"PPP3CC","PPP2R5A",0.407,0.536,0.498
"PPP3CC","AKT1",0.232,0.234,0.386
"PPP3CC","MYL3",0.091,0.04,0.413
"PPP3CC","LIMK2",0.381,0.32,0.388
"PPP3CC","PLCB3",0.64,0.295,0.504
"PPP3CC","CAMK2A",0.396,0.256,0.343
"PPP3CC","PIP5K1C",0.296,0.172,0.333
"PPP3CC","HCK",0.317,0.211,0.256
"PPP3CC","BAD",0.234,0.236,0.475
"PPP3CC","KCNIP2",0.182,0.108,0.357
