"symbol1","symbol2","MF","BP","CC"
"CD79A","TNFRSF13B",0.071,0.368,0.187
"CD79A","LAT",0.095,0.294,0.26
"CD79A","FATE1",0.095,0.057,0.175
"CDA","CES2",0.225,0.193,0.189
"CDA","NT5M",0.096,0.381,0.141
"CDC25A","CKS1B",0.13,0.334,0.117
"CDC25A","CSNK1E",0.111,0.271,0.178
"CDC25A","FOXM1",0.116,0.289,0.244
"CDC25A","HCFC1",0.095,0.233,0.154
"CDC25A","HRAS",0.124,0.289,0.123
"CDC25A","NPM1",0.096,0.263,0.117
"CDC25A","PLK1",0.143,0.336,0.147
"CDC25A","PSMA4",0.151,0.172,0.133
"CDC25A","PSMA7",0.144,0.172,0.128
"CDC25A","PSMB4",0.151,0.172,0.137
"CDC25A","PSMC4",0.151,0.179,0.137
"CDC25A","RRM2",0.115,0.298,0.227
"CDC25A","MCM3AP",NA,NA,0.175
"CDC25A","PKMYT1",0.119,0.359,0.16
"CDC25A","NUDC",0.071,0.067,0.183
"CDC25A","PSME4",0.058,0.156,0.158
"CDC25A","PPAN",0.033,0.034,0.088
"CEBPA","DBP",0.216,0.169,0.146
"CEBPA","GATA2",0.216,0.334,0.16
"CEBPA","SPI1",0.276,0.304,0.183
"CEBPA","PIAS1",0.168,0.27,0.188
"CEBPA","MTA1",0.276,0.221,0.152
"CEBPA","BATF",0.2,0.281,0.16
"CHRNG","RAPSN",0.095,0.251,0.102
"CKS1B","CSNK2B",0.141,0.133,0.14
"CKS1B","DDOST",0.059,0.128,0.172
"CKS1B","DDX11",0.044,0.208,0.166
"CKS1B","EEF1G",0.081,0.11,0.073
"CKS1B","EEF2",0.139,0.199,0.109
"CKS1B","EIF4A2",0.058,0.272,0.116
"CKS1B","EIF5A",0.071,0.138,0.113
"CKS1B","FANCG",0.074,0.102,0.165
"CKS1B","FOXM1",0.125,0.253,0.244
"CKS1B","FRG1",0.077,0.125,0.247
"CKS1B","GNB1",0.11,0.079,0.14
"CKS1B","GNB2",0.11,0.08,0.051
"CKS1B","GTF2H4",0.047,0.162,0.359
"CKS1B","KIFC1",0.058,0.309,0.136
"CKS1B","MARS",0,0.132,0.128
"CKS1B","NONO",0.062,0.118,0.183
"CKS1B","NPM1",0.184,0.178,0.14
"CKS1B","P2RY11",0,0.127,0.022
"CKS1B","PCBP1",0.071,0.082,0.147
"CKS1B","PCBP2",0.141,0.101,0.09
"CKS1B","PLK1",0.102,0.298,0.143
"CKS1B","POLR2L",0.047,0.156,0.325
"CKS1B","PPIB",0.094,0.126,0.123
"CKS1B","PSMA4",0.068,0.19,0.206
"CKS1B","PSMA7",0.071,0.19,0.201
"CKS1B","PSMB4",0.068,0.19,0.217
"CKS1B","PSMC4",0.068,0.213,0.205
"CKS1B","RAB5B",0.068,0.052,0.073
"CKS1B","RAB5C",0.065,0.059,0.083
"CKS1B","RPL4",0.065,0.145,0.122
"CKS1B","RPL7",0.064,0.124,0.122
"CKS1B","RPL8",0.033,0.153,0.1
"CKS1B","RPL10",0.058,0.143,0.129
"CKS1B","RPL11",0.103,0.173,0.15
"CKS1B","RPL15",0.068,0.153,0.155
"CKS1B","RPL30",0.065,0.119,0.112
"CKS1B","RPL27A",0.065,0.145,0.118
"CKS1B","RPL32",0.033,0.153,0.13
"CKS1B","RPL36AL",0.095,NA,0.128
"CKS1B","RPLP0",0.063,0.135,0.106
"CKS1B","RPLP2",0.068,0.145,0.101
"CKS1B","MRPS12",0.065,0.174,0.177
"CKS1B","RPN1",0.065,0.181,0.178
"CKS1B","RPS2",0.102,0.208,0.132
"CKS1B","RPS9",0.057,0.184,0.139
"CKS1B","RRM2",0.068,0.348,0.046
"CKS1B","SET",0.272,0.174,0.146
"CKS1B","SH3GL1",0.083,0.071,0.042
"CKS1B","SMARCD3",0.074,0.142,0.269
"CKS1B","SP1",0.077,0.189,0.199
"CKS1B","SURF4",0.095,0.091,0.086
"CKS1B","TBCA",0.077,0.034,0.105
"CKS1B","UGP2",0.071,0.177,0.08
"CKS1B","UNG",0.063,0.161,0.138
"CKS1B","ZNF35",0.031,0.104,0.075
"CKS1B","HIST1H2AC",0.046,0.08,0.145
"CKS1B","HDAC3",0.103,0.201,0.175
"CKS1B","BAZ1B",0.058,0.172,0.172
"CKS1B","RPL14",0.068,0.124,0.109
"CKS1B","PKMYT1",0.059,0.434,0.118
"CKS1B","ZBED1",0.047,0.266,0.158
"CKS1B","ARPC1B",0.071,0.147,0.11
"CKS1B","PRMT5",0.047,0.198,0.232
"CKS1B","TACC3",0.095,0.262,0.078
"CKS1B","MYBBP1A",0.034,0.229,0.155
"CKS1B","POLD3",0.068,0.179,0.324
"CKS1B","NUDC",0.083,0.017,0.112
"CKS1B","RPL35",0.034,0.142,0.146
"CKS1B","DNAJC9",0.081,0.198,0.093
