"symbol1","symbol2","MF","BP","CC"
"CAMK2A","HRAS",0.569,0.551,0.774
"CAMK2A","ITGA2B",0.669,0.22,0.585
"CAMK2A","MEF2D",0.564,0.259,0.75
"CAMK2A","SRF",0.572,0.402,0.775
"CAMK2A","SYNGAP1",NA,0.461,1
"CAMK2A","SQSTM1",0.761,0.513,0.67
"CAMK2A","CLSTN3",NA,0.258,0.467
"CAMK2A","GIT1",1,0.185,0.672
"CAMK2A","CACNA2D4",0.315,0.192,0.599
"CD7","CTSL",0.624,0.386,0.546
"CD7","SPN",0.166,0.541,0.715
"CD22","CD68",NA,0.741,0.671
"CD22","CD72",0.655,0.31,0.672
"CD22","CD79A",0.576,0.591,0.694
"CD22","SPN",0.244,0.476,0.794
"CD22","TNFRSF13B",0.567,0.519,1
"ENTPD2","POLR2L",0.557,0.498,0.467
"CD53","GGT1",1,0.371,0.769
"CD53","HLA-DRB1",0.316,0.455,0.662
"CD53","SPN",0.542,0.54,0.709
"CD63","HLA-DRA",1,0.329,0.811
"CD63","IGF2R",1,0.587,0.76
"CD63","LAMP1",1,0.474,0.868
"CD63","MSN",1,0.432,0.667
"CD63","SPARC",1,0.495,0.638
"CD63","SRF",1,0.351,0.56
"CD68","CYBA",NA,1,0.772
"CD68","HLA-DMA",NA,0.377,0.786
"CD68","SPI1",NA,0.356,0.612
"CD68","VWF",NA,0.774,0.529
"CD72","CD79A",0.823,0.166,0.666
"CD72","HLA-DRB1",0.205,0.097,0.603
"CD72","SELL",0.597,1,0.917
"CD79A","CSK",0.723,0.478,0.66
"CD79A","SELL",0.584,0.478,0.7
"CD79A","SLAMF1",0.825,0.271,0.487
"CD79A","SOS1",0.699,0.426,0.679
"CD79A","TNFRSF13B",0.831,0.578,1
"CD79A","LAT",0.741,0.568,0.683
"CD79A","FATE1",0.826,0.115,0.383
"CDA","CES2",0.426,0.26,0.674
"CDA","NT5M",0.085,0.468,0.519
"CDC25A","CKS1B",0.646,0.613,0.717
"CDC25A","CSNK1E",0.653,0.546,1
"CDC25A","FOXM1",0.698,0.57,1
"CDC25A","HCFC1",0.533,0.511,0.78
"CDC25A","HRAS",0.611,0.534,0.893
"CDC25A","NPM1",0.57,0.465,0.786
"CDC25A","PLK1",0.655,0.618,0.688
"CDC25A","PSMA4",0.692,0.368,0.802
"CDC25A","PSMA7",0.702,0.368,0.793
"CDC25A","PSMB4",0.692,0.368,0.81
"CDC25A","PSMC4",0.692,0.371,0.789
"CDC25A","RRM2",0.578,0.405,1
"CDC25A","MCM3AP",NA,NA,0.919
"CDC25A","PKMYT1",0.663,0.696,0.915
"CDC25A","NUDC",0.643,0.423,0.986
"CDC25A","PSME4",0.538,0.38,0.821
"CDC25A","PPAN",0.404,0,0.775
"CEBPA","DBP",0.74,0.514,1
"CEBPA","GATA2",0.826,0.632,0.926
"CEBPA","SPI1",0.857,0.654,0.902
"CEBPA","PIAS1",0.696,0.549,0.892
"CEBPA","MTA1",0.824,0.522,0.843
"CEBPA","BATF",0.859,0.453,0.926
"CHRNG","RAPSN",0.316,0.57,0.678
"CKS1B","CSNK2B",0.69,0.208,0.607
"CKS1B","DDOST",0.521,0.16,0.61
"CKS1B","DDX11",0.464,0.176,0.596
"CKS1B","EEF1G",0.635,0.079,0.646
"CKS1B","EEF2",0.675,0.214,0.591
"CKS1B","EIF4A2",0.605,0.15,0.369
"CKS1B","EIF5A",0.557,0.18,0.57
"CKS1B","FANCG",0.605,0.17,0.635
"CKS1B","FOXM1",0.683,0.418,1
"CKS1B","FRG1",0.641,0.192,0.517
"CKS1B","GNB1",0.637,0.19,0.497
"CKS1B","GNB2",0.637,0.252,0.51
"CKS1B","GTF2H4",0.569,0.089,0.733
"CKS1B","KIFC1",0.382,0.562,0.551
"CKS1B","MARS",0.048,0.038,0.565
"CKS1B","NONO",0.609,0.204,0.646
"CKS1B","NPM1",0.638,0.248,0.615
"CKS1B","P2RY11",0.287,0.198,0.433
"CKS1B","PCBP1",0.616,0.264,0.652
"CKS1B","PCBP2",0.695,0.181,0.654
"CKS1B","PLK1",0.635,0.486,0.535
"CKS1B","POLR2L",0.465,0.143,0.697
"CKS1B","PPIB",0.554,0.042,0.557
"CKS1B","PSMA4",0.619,0.179,0.622
"CKS1B","PSMA7",0.638,0.179,0.61
"CKS1B","PSMB4",0.619,0.179,0.625
"CKS1B","PSMC4",0.62,0.219,0.597
"CKS1B","RAB5B",0.557,0.118,0.587
"CKS1B","RAB5C",0.58,0.131,0.447
"CKS1B","RPL4",0.619,0.176,0.586
"CKS1B","RPL7",0.632,0.13,0.589
"CKS1B","RPL8",0.389,0.16,0.415
"CKS1B","RPL10",0.583,0.209,0.611
"CKS1B","RPL11",0.583,0.164,0.646
"CKS1B","RPL15",0.619,0.16,0.564
"CKS1B","RPL30",0.619,0.125,0.512
"CKS1B","RPL27A",0.619,0.176,0.504
"CKS1B","RPL32",0.389,0.16,0.435
"CKS1B","RPL36AL",1,NA,0.596
"CKS1B","RPLP0",0.566,0.133,0.554
"CKS1B","RPLP2",0.606,0.176,0.466
"CKS1B","MRPS12",0.619,0.161,0.442
"CKS1B","RPN1",0.588,0.342,0.53
"CKS1B","RPS2",0.631,0.215,0.61
"CKS1B","RPS9",0.562,0.184,0.629
"CKS1B","RRM2",0.557,0.431,0.622
"CKS1B","SET",0.67,0.208,0.673
"CKS1B","SH3GL1",0.652,0.398,0.54
"CKS1B","SMARCD3",0.506,0.251,0.616
"CKS1B","SP1",0.588,0.236,0.585
"CKS1B","SURF4",1,0.175,0.463
"CKS1B","TBCA",0.633,0.109,0.62
"CKS1B","UGP2",0.576,0.012,0.645
"CKS1B","UNG",0.511,0.107,0.703
"CKS1B","ZNF35",0.493,0.295,0.634
"CKS1B","HIST1H2AC",0.741,0.234,0.695
"CKS1B","HDAC3",0.573,0.27,0.629
"CKS1B","BAZ1B",0.561,0.271,0.636
"CKS1B","RPL14",0.619,0.147,0.48
"CKS1B","PKMYT1",0.626,0.782,0.694
"CKS1B","ZBED1",0.545,0.405,0.645
"CKS1B","ARPC1B",0.592,0.108,0.418
"CKS1B","PRMT5",0.461,0.182,0.702
"CKS1B","TACC3",1,0.486,0.557
"CKS1B","MYBBP1A",0.424,0.293,0.671
"CKS1B","POLD3",0.581,0.109,0.681
"CKS1B","NUDC",0.624,0.273,0.686
"CKS1B","RPL35",0.411,0.151,0.549
"CKS1B","DNAJC9",0.625,0.168,0.681
"CKS1B","HARS2",0.61,0.164,0.606
"CKS1B","RPL13A",0.411,0.158,0.543
"CKS1B","KPNA6",0.556,0,0.621
