"entrez1","entrez2"
"1958","4869"
"1958","5307"
"1958","6667"
"1958","6722"
"1958","6774"
"1958","9518"
"1974","1978"
"1974","1984"
"1974","2771"
"1974","2782"
"1974","2783"
"1974","2794"
"1974","2968"
"1974","4141"
"1974","4191"
"1974","4637"
"1974","4841"
"1974","4869"
"1974","5032"
"1974","5093"
"1974","5094"
"1974","5201"
"1974","5202"
"1974","5230"
"1974","5347"
"1974","5479"
"1974","5685"
"1974","5688"
"1974","5692"
"1974","5704"
"1974","5905"
"1974","6124"
"1974","6129"
"1974","6132"
"1974","6134"
"1974","6135"
"1974","6138"
"1974","6141"
"1974","6156"
"1974","6157"
"1974","6161"
"1974","6166"
"1974","6167"
"1974","6168"
"1974","6171"
"1974","6175"
"1974","6181"
"1974","6184"
"1974","6187"
"1974","6203"
"1974","6228"
"1974","6836"
"1974","8334"
"1974","8672"
"1974","9045"
"1974","10419"
"1974","11224"
"1974","23438"
"1974","23521"
"1974","23633"
"1974","23708"
"1974","29894"
"1974","29920"
"1974","51719"
"1974","56341"
"1974","56342"
"1974","57187"
"1974","60682"
"1974","80198"
"1974","90850"
"1974","117246"
"1974","126003"
"1974","203068"
"1978","6175"
"1978","7249"
"1978","11040"
"1984","2010"
"1984","2782"
"1984","2783"
"1984","2794"
"1984","2968"
"1984","3094"
"1984","3418"
"1984","3833"
"1984","4141"
"1984","4191"
"1984","4637"
"1984","4723"
"1984","4841"
"1984","4869"
"1984","5032"
"1984","5093"
"1984","5094"
"1984","5184"
"1984","5202"
"1984","5230"
"1984","5347"
"1984","5441"
"1984","5447"
"1984","5479"
"1984","5525"
"1984","5685"
"1984","5688"
"1984","5692"
"1984","5704"
"1984","5869"
"1984","5878"
"1984","5905"
"1984","6124"
"1984","6129"
"1984","6132"
"1984","6134"
"1984","6135"
"1984","6138"
"1984","6141"
"1984","6156"
"1984","6157"
"1984","6161"
"1984","6166"
"1984","6167"
"1984","6168"
"1984","6175"
"1984","6181"
"1984","6183"
"1984","6184"
"1984","6187"
"1984","6203"
"1984","6228"
"1984","6241"
"1984","6455"
"1984","6836"
"1984","7360"
"1984","7385"
"1984","9045"
"1984","9112"
"1984","9189"
"1984","9296"
"1984","9377"
"1984","10092"
"1984","10095"
"1984","10419"
"1984","10467"
"1984","10514"
"1984","10554"
"1984","11224"
"1984","11337"
"1984","23521"
"1984","23708"
"1984","26517"
"1984","29894"
"1984","29920"
"1984","29927"
"1984","51024"
"1984","51477"
"1984","54039"
"1984","54948"
"1984","56342"
"1984","56915"
"1984","56949"
"1984","57819"
"1984","60682"
"1984","63875"
"1984","79031"
"1984","90850"
"1984","94103"
"1984","117246"
"1984","126003"
"1984","203068"
"1984","246721"
"1995","56341"
"2000","4869"
"2000","6418"
"2010","8841"
"2010","9112"
"2010","11224"
"2010","29927"
"2010","57819"
"2010","89885"
"2010","203068"
"2049","10076"
"2049","80895"
"2132","6836"
"2132","29927"
"2189","2305"
"2189","5347"
"2189","6253"
"2189","9189"
"2189","117246"
"2197","4478"
"2197","4637"
"2197","4869"
"2197","5093"
"2197","5692"
"2197","6124"
"2197","6129"
"2197","6132"
"2197","6134"
"2197","6135"
"2197","6138"
"2197","6141"
"2197","6156"
"2197","6157"
"2197","6161"
"2197","6166"
"2197","6167"
"2197","6168"
"2197","6171"
"2197","6175"
"2197","6181"
"2197","6183"
"2197","6184"
"2197","6187"
"2197","6203"
"2197","6227"
"2197","6228"
"2197","6418"
"2197","6455"
